id,date,user,department,software,seats,amount
2790,15-10-2022 23:55:07,Dr. Beverly Hofstadter,Sales,Zoho Crm,2,36.0
2791,19-07-2022 12:52:33,Sheldon Cooper,Tech,Teams,3,15.0
2792,14-06-2022 01:16:07,Bert Kibbler,Customer Success,Discord,4,4.0
2793,12-08-2022 08:35:43,Sheldon Cooper,Tech,Notion,5,35.0
2794,06-11-2022 04:42:05,Rostenkowski,Tech,Google,1,2.0
2795,28-07-2022 08:58:16,Wil Wheaton,Marketting,Outplay,4,48.0
2796,06-01-2023 01:36:55,Dr. Beverly Hofstadter,Sales,Apple,1,20.0
2797,22-01-2023 04:25:04,Leonard Hofstadter,Tech,Height,3,9.0
2798,30-08-2022 10:21:32,Emily Sweeney,HR,Teams,1,5.0
2799,12-03-2023 07:07:29,Bert Kibbler,Customer Success,Zapier,2,8.0
2800,27-03-2023 23:11:40,Sheldon Cooper,Tech,Circleci,2,18.0
2801,01-06-2022 05:54:17,Barry Kripke,Customer Success,Zapier,4,16.0
2802,26-05-2022 08:36:53,Wil Wheaton,Marketting,Zapier,3,12.0
2803,10-08-2022 05:36:22,Dr. Beverly Hofstadter,Sales,Discord,4,4.0
2804,28-09-2022 00:30:31,Barry Kripke,Customer Success,Slack,4,40.0
2805,03-09-2022 04:01:26,Barry Kripke,Customer Success,Slack,2,20.0
2806,02-10-2022 15:54:38,Wil Wheaton,Marketting,Apple,4,80.0
2807,16-02-2023 05:18:26,Amy Farrah Fowler,Tech,Github,2,8.0
2808,23-03-2023 07:30:20,Sheldon Cooper,Tech,Sentry,4,20.0
2809,01-06-2022 12:20:26,Bert Kibbler,Customer Success,Sentry,3,15.0
2810,29-07-2022 04:19:46,Denise,HR,Github,5,20.0
2811,12-11-2022 15:23:27,Rostenkowski,Tech,Github,1,4.0
2812,23-07-2022 11:31:53,Amy Farrah Fowler,Tech,Slack,3,30.0
2813,04-03-2023 19:57:45,Sheldon Cooper,Tech,Outplay,1,12.0
2814,28-09-2022 02:09:57,Barry Kripke,Customer Success,Height,5,15.0
2815,29-07-2022 10:55:59,Denise,HR,Slack,2,20.0
2816,08-09-2022 01:19:31,Amy Farrah Fowler,Tech,Figma,4,56.0
2817,19-02-2023 11:56:23,Sheldon Cooper,Tech,Circleci,5,45.0
2818,29-07-2022 23:37:44,Emily Sweeney,HR,Fullstory,2,22.0
2819,03-11-2022 13:35:44,Amy Farrah Fowler,Tech,Height,2,6.0
2820,21-01-2023 10:20:13,Leonard Hofstadter,Tech,Figma,1,14.0
2821,06-01-2023 09:54:11,Priya Koothrappali,Sales,Apple,2,40.0
2822,10-09-2022 09:18:37,Dr. Beverly Hofstadter,Sales,Notion,1,7.0
2823,03-03-2023 07:29:48,Dr. V.M. Koothrappali,Marketting,Github,2,8.0
2824,12-10-2022 13:53:00,Amy Farrah Fowler,Tech,Figma,3,42.0
2825,23-07-2022 23:35:25,Sheldon Cooper,Tech,Height,3,9.0
2826,02-08-2022 07:37:43,Wil Wheaton,Marketting,Height,4,12.0
2827,13-12-2022 18:14:03,Rostenkowski,Tech,Teams,5,25.0
2828,03-07-2022 19:50:20,Dr. V.M. Koothrappali,Marketting,Circleci,4,36.0
2829,09-09-2022 14:38:40,Leslie Winkle,Tech,Slack,3,30.0
2830,28-07-2022 17:47:10,Dr. Beverly Hofstadter,Sales,Github,1,4.0
2831,20-08-2022 00:01:55,Wil Wheaton,Marketting,Teams,3,15.0
2832,02-02-2023 09:18:04,Emily Sweeney,HR,Apple,2,40.0
2833,17-11-2022 15:41:00,Emily Sweeney,HR,Notion,1,7.0
2834,30-04-2023 23:02:04,Leslie Winkle,Tech,Height,4,12.0
2835,30-12-2022 21:58:40,Rostenkowski,Tech,Zapier,5,20.0
2836,16-03-2023 21:45:08,Dr. Beverly Hofstadter,Sales,Apple,1,20.0
2837,12-01-2023 05:44:10,Barry Kripke,Customer Success,Appolo,2,34.0
2838,28-01-2023 18:04:02,Amy Farrah Fowler,Tech,Sentry,1,5.0
2839,30-05-2022 06:59:33,Bert Kibbler,Customer Success,Circleci,5,45.0
2840,12-07-2022 11:44:36,Barry Kripke,Customer Success,Appolo,2,34.0
2841,10-09-2022 16:40:18,Leslie Winkle,Tech,Notion,5,35.0
2842,01-04-2023 08:34:09,Amy Farrah Fowler,Tech,Height,4,12.0
2843,16-09-2022 01:29:58,Barry Kripke,Customer Success,Zapier,4,16.0
2844,18-02-2023 12:19:13,Barry Kripke,Customer Success,Github,3,12.0
2845,08-05-2023 02:25:15,Rostenkowski,Tech,Figma,4,56.0
2846,02-09-2022 15:37:07,Dr. V.M. Koothrappali,Marketting,Sentry,1,5.0
2847,15-05-2022 18:19:49,Wil Wheaton,Marketting,Apple,1,20.0
2848,25-09-2022 09:49:15,Barry Kripke,Customer Success,Google,3,6.0
2849,08-11-2022 07:52:08,Bert Kibbler,Customer Success,Apple,4,80.0
2850,19-07-2022 23:53:08,Wil Wheaton,Marketting,Height,4,12.0
2851,24-02-2023 13:21:36,Wil Wheaton,Marketting,Slack,3,30.0
2852,01-04-2023 20:15:21,Leslie Winkle,Tech,Discord,3,3.0
2853,12-07-2022 18:49:34,Denise,HR,Fullstory,2,22.0
2854,27-07-2022 10:04:59,Emily Sweeney,HR,Slack,4,40.0
2855,10-09-2022 15:11:17,Barry Kripke,Customer Success,Outplay,5,60.0
2856,22-02-2023 12:32:30,Rostenkowski,Tech,Slack,2,20.0
2857,05-09-2022 21:24:16,Amy Farrah Fowler,Tech,Appolo,2,34.0
2858,17-06-2022 18:33:33,Dr. Beverly Hofstadter,Sales,Google,5,10.0
2859,25-01-2023 16:36:32,Denise,HR,Zoho Crm,3,54.0
2860,14-12-2022 04:09:37,Rostenkowski,Tech,Height,3,9.0
2861,05-01-2023 13:11:42,Leslie Winkle,Tech,Notion,2,14.0
2862,06-09-2022 04:41:14,Leslie Winkle,Tech,Circleci,3,27.0
2863,19-03-2023 23:19:45,Dr. V.M. Koothrappali,Marketting,Sentry,4,20.0
2864,12-03-2023 23:05:49,Sheldon Cooper,Tech,Slack,4,40.0
2865,11-07-2022 17:17:42,Amy Farrah Fowler,Tech,Zoho Crm,4,72.0
2866,08-04-2023 11:24:18,Dr. Beverly Hofstadter,Sales,Sentry,1,5.0
2867,13-06-2022 17:12:10,Amy Farrah Fowler,Tech,Discord,1,1.0
2868,03-08-2022 08:11:58,Barry Kripke,Customer Success,Appolo,3,51.0
2869,13-01-2023 06:47:10,Dr. Beverly Hofstadter,Sales,Teams,5,25.0
2870,20-08-2022 22:18:11,Leslie Winkle,Tech,Google,2,4.0
2871,23-08-2022 23:37:47,Rostenkowski,Tech,Zapier,5,20.0
2872,02-08-2022 12:52:02,Denise,HR,Appolo,4,68.0
2873,12-05-2022 23:13:22,Dr. V.M. Koothrappali,Marketting,Discord,4,4.0
2874,06-11-2022 02:24:59,Sheldon Cooper,Tech,Discord,5,5.0
2875,24-03-2023 11:35:33,Wil Wheaton,Marketting,Outplay,2,24.0
2876,24-09-2022 13:41:21,Emily Sweeney,HR,Outplay,2,24.0
2877,11-05-2022 21:16:05,Sheldon Cooper,Tech,Figma,3,42.0
2878,02-12-2022 11:38:37,Barry Kripke,Customer Success,Fullstory,1,11.0
2879,15-02-2023 13:16:40,Barry Kripke,Customer Success,Discord,4,4.0
2880,02-12-2022 18:29:30,Sheldon Cooper,Tech,Notion,5,35.0
2881,26-01-2023 23:12:47,Dr. V.M. Koothrappali,Marketting,Circleci,2,18.0
2882,06-04-2023 18:22:46,Dr. Beverly Hofstadter,Sales,Google,4,8.0
2883,18-11-2022 01:52:09,Bert Kibbler,Customer Success,Appolo,4,68.0
2884,06-05-2023 12:27:44,Wil Wheaton,Marketting,Zoho Crm,4,72.0
2885,11-11-2022 09:18:56,Denise,HR,Appolo,4,68.0
2886,03-12-2022 05:37:13,Barry Kripke,Customer Success,Figma,4,56.0
2887,08-01-2023 23:49:43,Sheldon Cooper,Tech,Zapier,1,4.0
2888,20-11-2022 04:05:47,Leslie Winkle,Tech,Sentry,4,20.0
2889,13-07-2022 03:19:59,Denise,HR,Sentry,5,25.0
2890,26-11-2022 11:40:03,Emily Sweeney,HR,Zapier,3,12.0
2891,27-01-2023 18:27:58,Dr. V.M. Koothrappali,Marketting,Appolo,1,17.0
2892,05-05-2023 08:49:18,Denise,HR,Notion,2,14.0
2893,17-12-2022 11:10:03,Amy Farrah Fowler,Tech,Figma,4,56.0
2894,11-02-2023 16:20:47,Dr. Beverly Hofstadter,Sales,Discord,5,5.0
2895,14-02-2023 19:38:29,Dr. Beverly Hofstadter,Sales,Discord,3,3.0
2896,29-08-2022 06:04:49,Amy Farrah Fowler,Tech,Apple,2,40.0
2897,22-08-2022 07:55:31,Wil Wheaton,Marketting,Discord,4,4.0
2898,22-02-2023 07:41:07,Denise,HR,Zoho Crm,4,72.0
2899,26-05-2022 18:27:14,Priya Koothrappali,Sales,Circleci,4,36.0
2900,12-01-2023 04:38:57,Amy Farrah Fowler,Tech,Zapier,4,16.0
2901,10-01-2023 23:07:48,Priya Koothrappali,Sales,Height,5,15.0
2902,19-12-2022 05:29:27,Denise,HR,Notion,2,14.0
2903,29-12-2022 21:14:11,Emily Sweeney,HR,Figma,4,56.0
2904,08-05-2023 05:55:36,Denise,HR,Outplay,2,24.0
2905,13-11-2022 17:50:18,Barry Kripke,Customer Success,Fullstory,3,33.0
2906,30-06-2022 12:29:17,Rostenkowski,Tech,Discord,2,2.0
2907,15-05-2022 12:15:41,Barry Kripke,Customer Success,Teams,5,25.0
2908,29-10-2022 06:13:37,Amy Farrah Fowler,Tech,Github,2,8.0
2909,18-07-2022 11:49:16,Leonard Hofstadter,Tech,Github,2,8.0
2910,10-05-2022 21:29:28,Leslie Winkle,Tech,Discord,2,2.0
2911,11-06-2022 01:25:03,Bert Kibbler,Customer Success,Discord,1,1.0
2912,04-02-2023 06:11:02,Sheldon Cooper,Tech,Discord,1,1.0
2913,11-06-2022 01:45:53,Barry Kripke,Customer Success,Notion,4,28.0
2914,27-09-2022 16:17:39,Leonard Hofstadter,Tech,Sentry,2,10.0
2915,22-01-2023 13:56:38,Dr. Beverly Hofstadter,Sales,Outplay,4,48.0
2916,24-02-2023 19:43:12,Denise,HR,Appolo,2,34.0
2917,14-04-2023 23:10:27,Dr. Beverly Hofstadter,Sales,Teams,5,25.0
2918,21-05-2022 22:34:32,Sheldon Cooper,Tech,Zoho Crm,2,36.0
2919,22-07-2022 16:24:14,Rostenkowski,Tech,Slack,5,50.0
2920,13-11-2022 10:24:51,Emily Sweeney,HR,Height,1,3.0
2921,13-08-2022 03:16:23,Bert Kibbler,Customer Success,Github,2,8.0
2922,13-04-2023 21:44:39,Priya Koothrappali,Sales,Sentry,4,20.0
2923,31-05-2022 14:43:07,Rostenkowski,Tech,Height,3,9.0
2924,20-02-2023 12:04:45,Dr. Beverly Hofstadter,Sales,Apple,4,80.0
2925,08-09-2022 12:26:40,Bert Kibbler,Customer Success,Apple,2,40.0
2926,28-05-2022 01:34:54,Wil Wheaton,Marketting,Figma,1,14.0
2927,09-10-2022 22:27:57,Rostenkowski,Tech,Github,2,8.0
2928,09-11-2022 15:12:47,Leonard Hofstadter,Tech,Outplay,3,36.0
2929,05-01-2023 17:55:23,Barry Kripke,Customer Success,Google,2,4.0
2930,25-07-2022 18:24:40,Bert Kibbler,Customer Success,Outplay,3,36.0
2931,05-11-2022 10:31:11,Dr. Beverly Hofstadter,Sales,Outplay,1,12.0
2932,08-09-2022 11:59:21,Priya Koothrappali,Sales,Slack,4,40.0
2933,15-01-2023 23:12:01,Priya Koothrappali,Sales,Zoho Crm,4,72.0
2934,08-12-2022 17:42:33,Rostenkowski,Tech,Fullstory,4,44.0
2935,29-07-2022 15:30:25,Barry Kripke,Customer Success,Fullstory,5,55.0
2936,09-09-2022 00:16:33,Dr. Beverly Hofstadter,Sales,Figma,3,42.0
2937,28-11-2022 15:51:17,Dr. Beverly Hofstadter,Sales,Appolo,1,17.0
2938,12-09-2022 01:26:29,Barry Kripke,Customer Success,Apple,4,80.0
2939,17-02-2023 22:24:30,Leslie Winkle,Tech,Outplay,5,60.0
2940,06-10-2022 17:00:51,Leslie Winkle,Tech,Slack,3,30.0
2941,18-10-2022 13:47:16,Dr. V.M. Koothrappali,Marketting,Google,1,2.0
2942,17-11-2022 19:25:49,Priya Koothrappali,Sales,Apple,1,20.0
2943,23-07-2022 04:42:54,Sheldon Cooper,Tech,Github,4,16.0
2944,06-01-2023 18:50:27,Emily Sweeney,HR,Outplay,3,36.0
2945,13-10-2022 22:02:30,Priya Koothrappali,Sales,Discord,5,5.0
2946,04-12-2022 03:37:10,Barry Kripke,Customer Success,Outplay,4,48.0
2947,24-07-2022 12:29:39,Dr. V.M. Koothrappali,Marketting,Circleci,5,45.0
2948,21-10-2022 17:39:21,Priya Koothrappali,Sales,Apple,5,100.0
2949,18-12-2022 14:03:46,Dr. Beverly Hofstadter,Sales,Github,3,12.0
2950,10-07-2022 03:34:08,Dr. Beverly Hofstadter,Sales,Height,3,9.0
2951,07-04-2023 12:45:35,Wil Wheaton,Marketting,Notion,3,21.0
2952,24-04-2023 22:56:39,Sheldon Cooper,Tech,Sentry,2,10.0
2953,07-10-2022 09:08:11,Leslie Winkle,Tech,Teams,1,5.0
2954,05-03-2023 07:01:06,Leonard Hofstadter,Tech,Github,5,20.0
2955,26-06-2022 14:18:58,Dr. Beverly Hofstadter,Sales,Google,3,6.0
2956,08-05-2023 00:43:18,Sheldon Cooper,Tech,Discord,2,2.0
2957,15-05-2022 10:55:59,Leonard Hofstadter,Tech,Sentry,1,5.0
2958,19-05-2022 18:23:39,Amy Farrah Fowler,Tech,Sentry,2,10.0
2959,28-08-2022 23:56:07,Denise,HR,Slack,4,40.0
2960,22-06-2022 13:15:25,Dr. V.M. Koothrappali,Marketting,Slack,4,40.0
2961,19-04-2023 05:16:52,Amy Farrah Fowler,Tech,Apple,3,60.0
2962,11-07-2022 00:57:39,Barry Kripke,Customer Success,Height,4,12.0
2963,06-11-2022 05:18:10,Sheldon Cooper,Tech,Fullstory,4,44.0
2964,23-02-2023 03:11:04,Leslie Winkle,Tech,Apple,3,60.0
2965,01-12-2022 02:33:32,Bert Kibbler,Customer Success,Circleci,2,18.0
2966,20-11-2022 17:06:02,Leonard Hofstadter,Tech,Zoho Crm,1,18.0
2967,19-09-2022 08:02:54,Rostenkowski,Tech,Fullstory,1,11.0
2968,05-02-2023 14:46:23,Leonard Hofstadter,Tech,Circleci,1,9.0
2969,02-09-2022 10:38:40,Leslie Winkle,Tech,Appolo,3,51.0
2970,15-01-2023 00:19:53,Wil Wheaton,Marketting,Notion,2,14.0
2971,19-03-2023 21:35:26,Emily Sweeney,HR,Google,5,10.0
2972,09-11-2022 02:09:40,Amy Farrah Fowler,Tech,Circleci,1,9.0
2973,17-02-2023 09:42:51,Amy Farrah Fowler,Tech,Figma,3,42.0
2974,17-05-2022 21:00:00,Amy Farrah Fowler,Tech,Zoho Crm,1,18.0
2975,11-11-2022 18:18:18,Priya Koothrappali,Sales,Google,5,10.0
2976,09-12-2022 22:37:16,Leonard Hofstadter,Tech,Zoho Crm,5,90.0
2977,25-01-2023 01:46:51,Amy Farrah Fowler,Tech,Sentry,1,5.0
2978,23-02-2023 21:39:51,Leonard Hofstadter,Tech,Github,2,8.0
2979,30-10-2022 04:12:56,Sheldon Cooper,Tech,Zapier,3,12.0
2980,27-08-2022 20:41:57,Dr. Beverly Hofstadter,Sales,Height,3,9.0
2981,04-07-2022 15:41:03,Dr. V.M. Koothrappali,Marketting,Figma,3,42.0
2982,16-03-2023 11:59:55,Sheldon Cooper,Tech,Slack,1,10.0
2983,24-11-2022 20:26:28,Barry Kripke,Customer Success,Slack,1,10.0
2984,01-09-2022 09:04:45,Sheldon Cooper,Tech,Teams,2,10.0
2985,15-04-2023 02:27:10,Wil Wheaton,Marketting,Sentry,4,20.0
2986,16-11-2022 00:14:08,Leslie Winkle,Tech,Slack,3,30.0
2987,04-03-2023 10:05:50,Sheldon Cooper,Tech,Google,1,2.0
2988,17-02-2023 23:41:39,Rostenkowski,Tech,Sentry,1,5.0
2989,12-10-2022 21:38:06,Emily Sweeney,HR,Outplay,1,12.0
2990,22-07-2022 15:32:37,Priya Koothrappali,Sales,Zapier,3,12.0
2991,21-01-2023 23:32:19,Priya Koothrappali,Sales,Notion,5,35.0
2992,17-01-2023 09:45:54,Rostenkowski,Tech,Notion,2,14.0
2993,25-11-2022 03:33:23,Rostenkowski,Tech,Fullstory,4,44.0
2994,02-06-2022 10:10:52,Amy Farrah Fowler,Tech,Apple,2,40.0
2995,03-12-2022 23:43:59,Dr. V.M. Koothrappali,Marketting,Discord,3,3.0
2996,12-03-2023 09:45:08,Amy Farrah Fowler,Tech,Zoho Crm,5,90.0
2997,25-09-2022 22:45:55,Sheldon Cooper,Tech,Fullstory,4,44.0
2998,09-08-2022 02:05:02,Emily Sweeney,HR,Teams,1,5.0
2999,30-05-2022 09:20:31,Leslie Winkle,Tech,Github,3,12.0
3000,02-01-2023 03:11:19,Denise,HR,Fullstory,2,22.0
3001,04-08-2022 23:05:19,Leslie Winkle,Tech,Outplay,5,60.0
3002,19-04-2023 03:51:33,Sheldon Cooper,Tech,Discord,3,3.0
3003,14-04-2023 06:50:18,Sheldon Cooper,Tech,Circleci,3,27.0
3004,28-08-2022 15:33:29,Leonard Hofstadter,Tech,Figma,4,56.0
3005,23-01-2023 12:37:19,Priya Koothrappali,Sales,Figma,4,56.0
3006,01-05-2023 05:40:10,Emily Sweeney,HR,Figma,5,70.0
3007,31-08-2022 22:13:56,Sheldon Cooper,Tech,Teams,3,15.0
3008,18-03-2023 17:59:27,Sheldon Cooper,Tech,Sentry,2,10.0
3009,25-07-2022 14:14:39,Amy Farrah Fowler,Tech,Zapier,4,16.0
3010,10-11-2022 18:19:59,Wil Wheaton,Marketting,Outplay,2,24.0
3011,28-04-2023 21:47:36,Dr. Beverly Hofstadter,Sales,Google,5,10.0
3012,14-08-2022 23:15:00,Dr. V.M. Koothrappali,Marketting,Notion,5,35.0
3013,28-11-2022 23:09:28,Leonard Hofstadter,Tech,Slack,4,40.0
3014,12-06-2022 00:05:34,Leslie Winkle,Tech,Circleci,5,45.0
3015,31-03-2023 11:20:22,Leslie Winkle,Tech,Zapier,2,8.0
3016,08-12-2022 13:59:39,Bert Kibbler,Customer Success,Sentry,1,5.0
3017,28-11-2022 00:53:32,Dr. Beverly Hofstadter,Sales,Sentry,5,25.0
3018,14-03-2023 12:12:16,Leslie Winkle,Tech,Outplay,1,12.0
3019,28-08-2022 17:22:06,Denise,HR,Outplay,4,48.0
3020,02-08-2022 03:02:44,Barry Kripke,Customer Success,Outplay,4,48.0
3021,21-03-2023 01:10:56,Rostenkowski,Tech,Sentry,2,10.0
3022,16-01-2023 05:07:18,Leonard Hofstadter,Tech,Slack,4,40.0
3023,22-01-2023 10:23:50,Emily Sweeney,HR,Notion,2,14.0
3024,02-10-2022 11:03:39,Dr. Beverly Hofstadter,Sales,Appolo,1,17.0
3025,25-05-2022 05:47:13,Wil Wheaton,Marketting,Apple,5,100.0
3026,12-11-2022 04:00:34,Sheldon Cooper,Tech,Teams,3,15.0
3027,02-06-2022 07:30:47,Sheldon Cooper,Tech,Outplay,5,60.0
3028,29-06-2022 22:07:29,Wil Wheaton,Marketting,Fullstory,1,11.0
3029,24-06-2022 20:08:47,Rostenkowski,Tech,Height,4,12.0
3030,14-06-2022 15:05:30,Leslie Winkle,Tech,Github,3,12.0
3031,06-06-2022 06:50:53,Barry Kripke,Customer Success,Google,4,8.0
3032,07-03-2023 10:00:15,Denise,HR,Outplay,2,24.0
3033,11-06-2022 21:10:47,Priya Koothrappali,Sales,Zapier,3,12.0
3034,27-01-2023 11:20:30,Dr. Beverly Hofstadter,Sales,Google,3,6.0
3035,30-09-2022 09:15:35,Denise,HR,Google,1,2.0
3036,25-01-2023 04:00:18,Barry Kripke,Customer Success,Notion,4,28.0
3037,15-07-2022 00:33:43,Leslie Winkle,Tech,Appolo,1,17.0
3038,22-03-2023 13:04:56,Bert Kibbler,Customer Success,Sentry,2,10.0
3039,11-04-2023 13:22:48,Dr. Beverly Hofstadter,Sales,Apple,3,60.0
3040,22-10-2022 23:04:42,Dr. Beverly Hofstadter,Sales,Apple,2,40.0
3041,21-03-2023 22:11:23,Sheldon Cooper,Tech,Github,2,8.0
3042,08-01-2023 10:47:29,Priya Koothrappali,Sales,Notion,3,21.0
3043,19-09-2022 05:33:24,Denise,HR,Zoho Crm,1,18.0
3044,22-09-2022 14:46:18,Rostenkowski,Tech,Slack,3,30.0
3045,27-09-2022 21:09:47,Priya Koothrappali,Sales,Outplay,3,36.0
3046,09-04-2023 06:06:03,Rostenkowski,Tech,Google,1,2.0
3047,25-12-2022 16:11:17,Denise,HR,Height,2,6.0
3048,26-09-2022 06:15:19,Denise,HR,Slack,2,20.0
3049,12-08-2022 16:11:41,Sheldon Cooper,Tech,Zoho Crm,2,36.0
3050,01-11-2022 06:54:28,Sheldon Cooper,Tech,Appolo,1,17.0
3051,21-12-2022 04:58:24,Emily Sweeney,HR,Teams,2,10.0
3052,16-09-2022 15:06:23,Amy Farrah Fowler,Tech,Height,4,12.0
3053,03-01-2023 11:34:56,Rostenkowski,Tech,Github,1,4.0
3054,07-01-2023 12:41:40,Barry Kripke,Customer Success,Notion,1,7.0
3055,12-09-2022 00:57:49,Denise,HR,Zoho Crm,4,72.0
3056,19-07-2022 17:18:40,Dr. Beverly Hofstadter,Sales,Notion,4,28.0
3057,24-12-2022 04:30:26,Dr. V.M. Koothrappali,Marketting,Appolo,2,34.0
3058,06-01-2023 08:22:09,Dr. V.M. Koothrappali,Marketting,Google,5,10.0
3059,14-08-2022 06:53:00,Barry Kripke,Customer Success,Github,3,12.0
3060,03-12-2022 13:36:01,Denise,HR,Height,3,9.0
3061,31-01-2023 15:18:39,Leslie Winkle,Tech,Github,1,4.0
3062,30-10-2022 21:23:42,Amy Farrah Fowler,Tech,Zoho Crm,3,54.0
3063,25-07-2022 20:34:24,Leslie Winkle,Tech,Google,3,6.0
3064,04-06-2022 10:55:30,Dr. V.M. Koothrappali,Marketting,Teams,2,10.0
3065,19-04-2023 19:48:22,Bert Kibbler,Customer Success,Zoho Crm,5,90.0
3066,25-08-2022 10:57:38,Bert Kibbler,Customer Success,Appolo,3,51.0
3067,30-08-2022 23:34:25,Dr. Beverly Hofstadter,Sales,Sentry,1,5.0
3068,29-08-2022 21:26:34,Amy Farrah Fowler,Tech,Appolo,4,68.0
3069,11-06-2022 13:36:45,Priya Koothrappali,Sales,Zoho Crm,5,90.0
3070,19-11-2022 21:37:27,Sheldon Cooper,Tech,Fullstory,3,33.0
3071,13-03-2023 08:07:23,Denise,HR,Github,2,8.0
3072,13-04-2023 05:51:33,Sheldon Cooper,Tech,Figma,4,56.0
3073,10-02-2023 03:12:30,Dr. V.M. Koothrappali,Marketting,Sentry,3,15.0
3074,25-05-2022 21:10:10,Rostenkowski,Tech,Zapier,3,12.0
3075,13-10-2022 22:18:36,Dr. Beverly Hofstadter,Sales,Circleci,3,27.0
3076,24-09-2022 05:00:06,Denise,HR,Github,1,4.0
3077,27-01-2023 23:22:53,Leonard Hofstadter,Tech,Fullstory,3,33.0
3078,07-09-2022 19:52:46,Sheldon Cooper,Tech,Teams,2,10.0
3079,08-11-2022 18:01:51,Barry Kripke,Customer Success,Outplay,1,12.0
3080,24-06-2022 00:05:46,Denise,HR,Height,1,3.0
3081,31-03-2023 14:43:50,Dr. Beverly Hofstadter,Sales,Appolo,4,68.0
3082,13-11-2022 13:17:38,Dr. V.M. Koothrappali,Marketting,Google,3,6.0
3083,18-07-2022 13:28:34,Amy Farrah Fowler,Tech,Slack,3,30.0
3084,07-11-2022 04:03:07,Amy Farrah Fowler,Tech,Outplay,2,24.0
3085,27-01-2023 19:17:31,Barry Kripke,Customer Success,Discord,5,5.0
3086,17-05-2022 02:12:38,Denise,HR,Sentry,4,20.0
3087,24-05-2022 01:53:18,Dr. Beverly Hofstadter,Sales,Teams,1,5.0
3088,20-06-2022 08:58:00,Sheldon Cooper,Tech,Notion,4,28.0
3089,30-12-2022 15:13:25,Priya Koothrappali,Sales,Apple,2,40.0
3090,08-04-2023 00:32:45,Wil Wheaton,Marketting,Height,5,15.0
3091,22-11-2022 17:56:40,Priya Koothrappali,Sales,Teams,4,20.0
3092,09-06-2022 02:15:22,Bert Kibbler,Customer Success,Figma,1,14.0
3093,22-11-2022 22:54:34,Dr. Beverly Hofstadter,Sales,Github,4,16.0
3094,27-01-2023 05:00:50,Rostenkowski,Tech,Discord,1,1.0
3095,14-10-2022 01:39:20,Dr. V.M. Koothrappali,Marketting,Outplay,4,48.0
3096,20-04-2023 16:12:29,Rostenkowski,Tech,Discord,1,1.0
3097,24-01-2023 06:56:58,Rostenkowski,Tech,Circleci,3,27.0
3098,27-06-2022 11:29:28,Wil Wheaton,Marketting,Discord,2,2.0
3099,30-01-2023 14:24:37,Wil Wheaton,Marketting,Sentry,5,25.0
3100,19-11-2022 10:19:42,Leonard Hofstadter,Tech,Zapier,2,8.0
3101,24-09-2022 15:08:59,Amy Farrah Fowler,Tech,Discord,3,3.0
3102,20-03-2023 19:07:52,Sheldon Cooper,Tech,Circleci,1,9.0
3103,21-08-2022 10:43:48,Wil Wheaton,Marketting,Outplay,4,48.0
3104,17-09-2022 20:40:33,Leonard Hofstadter,Tech,Appolo,5,85.0
3105,25-12-2022 00:09:48,Sheldon Cooper,Tech,Fullstory,4,44.0
3106,19-09-2022 17:04:13,Rostenkowski,Tech,Zapier,4,16.0
3107,04-06-2022 08:35:10,Sheldon Cooper,Tech,Outplay,5,60.0
3108,27-12-2022 05:21:17,Sheldon Cooper,Tech,Teams,3,15.0
3109,09-07-2022 14:48:05,Dr. V.M. Koothrappali,Marketting,Teams,3,15.0
3110,19-10-2022 23:55:43,Rostenkowski,Tech,Outplay,4,48.0
3111,22-07-2022 19:45:10,Denise,HR,Height,5,15.0
3112,09-04-2023 05:53:48,Leslie Winkle,Tech,Discord,3,3.0
3113,13-01-2023 14:33:23,Denise,HR,Figma,4,56.0
3114,23-08-2022 13:41:23,Wil Wheaton,Marketting,Slack,1,10.0
3115,22-01-2023 08:22:53,Barry Kripke,Customer Success,Fullstory,4,44.0
3116,21-05-2022 07:56:30,Rostenkowski,Tech,Notion,2,14.0
3117,27-09-2022 04:13:46,Wil Wheaton,Marketting,Fullstory,3,33.0
3118,21-08-2022 11:29:24,Sheldon Cooper,Tech,Apple,5,100.0
3119,13-05-2022 09:00:29,Denise,HR,Teams,3,15.0
3120,01-05-2023 02:14:31,Rostenkowski,Tech,Notion,1,7.0
3121,18-02-2023 21:01:35,Dr. V.M. Koothrappali,Marketting,Discord,2,2.0
3122,18-05-2022 02:09:22,Wil Wheaton,Marketting,Github,2,8.0
3123,21-02-2023 02:09:15,Dr. Beverly Hofstadter,Sales,Notion,4,28.0
3124,28-03-2023 22:57:55,Emily Sweeney,HR,Github,4,16.0
3125,03-08-2022 18:56:49,Leonard Hofstadter,Tech,Notion,4,28.0
3126,16-05-2022 14:44:49,Denise,HR,Fullstory,5,55.0
3127,09-04-2023 05:26:37,Barry Kripke,Customer Success,Sentry,4,20.0
3128,19-12-2022 15:32:01,Sheldon Cooper,Tech,Zoho Crm,3,54.0
3129,06-03-2023 12:05:09,Bert Kibbler,Customer Success,Notion,5,35.0
3130,25-12-2022 00:16:39,Wil Wheaton,Marketting,Circleci,3,27.0
3131,19-07-2022 05:54:34,Rostenkowski,Tech,Sentry,4,20.0
3132,29-07-2022 15:35:18,Emily Sweeney,HR,Sentry,5,25.0
3133,19-07-2022 16:29:46,Amy Farrah Fowler,Tech,Zoho Crm,5,90.0
